monthly_income,avg_monthly_spend,credit_limit,num_transactions,account_tenure_months,cash_withdraw_ratio,late_payment_count,age,region_risk_score,marketing_score,app_login_count,employment_type,debt_to_income,payment_delay_ratio,repayment_issue
26867.849400385054,18963.331725212465,13797.84024267025,31,114,0.23657598889691978,2,60,0.10679589155766724,59.591420632888244,24,self_employed,0.7058001346747423,0.0625,1
20841.350135295306,10425.045671870317,19907.767202160852,36,64,0.028459909909504866,0,20,0.08629030774433641,63.39260831478945,16,other,0.50020970830557,0.0,1
28540.385983547745,9244.744459146881,23277.39654430618,45,50,0.33015794583039143,0,24,0.4387986120846159,62.237802651177745,31,other,0.32391798991352333,0.0,1
40506.26540806129,13339.455401554167,52088.04193879342,44,12,0.0,3,60,0.29046168350880763,53.79390806319689,20,self_employed,0.3293183231574698,0.06666666666666667,1
20057.103316372577,12374.793740501715,32688.989694175594,34,107,0.4145420436655556,2,39,0.23804681274602688,56.23883988586386,12,salaried,0.6169781122082665,0.05714285714285714,1
20057.235034002046,10894.870681737018,16858.01433364887,38,38,0.46622949725843255,1,24,0.05869042001000451,33.638694262666306,10,salaried,0.5431890618655801,0.02564102564102564,1
41426.87592837126,18276.554660752616,31892.071045051514,29,31,0.6028877618435504,0,55,0.09869411997290278,38.734597897714664,18,self_employed,0.44117627147056704,0.0,1
29940.69562468601,20535.027054183603,15653.402803571002,26,80,0.013850611865063062,0,48,0.19866714204798885,63.431903355122486,20,salaried,0.6858567119346598,0.0,1
18255.29119761735,13901.931952252384,39298.509418691036,26,6,0.04436539622497962,2,67,0.4017540736348182,62.558142300930214,20,salaried,0.7615289069761233,0.07407407407407407,1
27365.10710288911,25974.966765202,22813.4686744216,41,46,0.35390080513790967,3,53,0.15488541966513475,60.85699124666631,30,salaried,0.9492002595692255,0.07142857142857142,1
18299.57149304967,7992.3482854545655,26035.788048269984,27,58,0.4274020082598966,2,67,0.06756114572717553,42.28374857515209,29,,0.43675057027920716,0.07142857142857142,1
18282.65542799599,12244.75845675144,42788.67854662998,29,44,0.3713428992037858,1,37,0.6289722266610718,63.65738197915544,20,self_employed,0.6697472642842245,0.03333333333333333,1
24264.87010463661,9676.252392064258,17145.529550336447,41,102,0.4119575510791391,0,21,0.30351689986724883,32.58133321279463,12,self_employed,0.39877618756406563,0.0,1
10246.463515320296,5767.8722018720755,16498.234187303835,38,116,0.4565241042947551,1,35,0.20464480241912172,66.16039714793409,23,self_employed,0.5629134572380095,0.02564102564102564,1
11048.311247597916,12871.794084383004,21932.83780206137,38,111,0.2803375593293849,1,48,0.10081380565507211,46.08693798131165,21,self_employed,1.165046294942274,0.02564102564102564,1
17589.985058567952,12647.484507598932,38693.72022862301,37,15,0.21811751298691112,0,52,0.28458832520113836,75.26255609510949,18,salaried,0.7190162166418916,0.0,0
14689.196224828533,26398.23377565313,15807.327440744537,44,48,0.04477341881118943,0,35,0.384546067295955,27.178368619017725,25,self_employed,1.7971190098906367,0.0,1
24976.70658810034,17745.10989457613,9984.06439752777,28,84,0.2052841892176302,2,54,0.2383537198613996,76.45106068877783,16,salaried,0.710466363208608,0.06896551724137931,1
15318.099311847982,8426.32429359809,22973.448144762504,30,35,0.22826673965036556,0,66,0.31816146496431197,44.578035062548075,30,self_employed,0.550089415276257,0.0,1
,30771.421192480026,32633.977525553037,26,23,0.10754731400136172,1,62,0.02324441303824543,44.307811159823835,24,salaried,2.0,0.037037037037037035,1
,23143.405584785047,40949.366226970415,45,82,0.2442663698264404,1,61,0.21875091232193278,52.92258228478396,18,self_employed,0.5846193398950326,0.021739130434782608,1
20124.423980805834,17360.34682756036,22877.14195804368,37,81,0.09064315493807759,3,36,0.03410288652998796,39.543816307989545,23,other,0.8626506201677235,0.07894736842105263,1
22629.53706842795,12065.219313029398,23295.155221123914,34,59,0.41699985045207544,0,23,0.4104781729018127,48.915064980465395,21,salaried,0.5331624450180392,0.0,0
12457.781484865567,8675.448844481276,40290.269089916525,47,71,0.31387367037687397,0,68,0.6437937123796782,38.935606020937186,26,salaried,0.6963879447573159,0.0,1
17716.415359090453,11299.423105290316,13982.899603339814,43,72,0.1810594466742529,3,23,0.347131814977862,39.484047035312194,22,salaried,0.6377939823753612,0.06818181818181818,1
23025.76386152949,21805.92234026202,23482.664068509854,30,104,0.27832609117391277,1,44,0.1581734963996176,57.30328925450858,21,salaried,0.9470227555271019,0.03225806451612903,1
,31196.582660002136,28757.341250514582,31,69,0.0842365356462775,1,52,0.04325947326603026,36.47651757044726,18,salaried,2.0,0.03125,1
25598.248427812447,26754.543482716548,31483.741617772997,37,50,0.09944608553211046,0,33,0.7367217342067499,38.47708647491777,19,self_employed,1.0451708662084782,0.0,1
17322.205702422212,10721.622332872366,22506.68504970227,30,78,0.15492180425841662,1,43,0.3626599938803104,29.408131253803866,20,salaried,0.6189524889069487,0.03225806451612903,1
19600.738049231473,8072.125867568351,27229.44909990096,37,102,0.22121078943863487,0,30,0.1294313618568331,42.44103980057991,21,salaried,0.4118276489024785,0.0,1
17314.807774641824,14234.143241032993,11260.827917564327,41,35,0.2711802718733536,0,44,0.23035290699519256,69.67403044585883,12,self_employed,0.8220791952353882,0.0,1
46208.14100628735,6028.191245856685,21367.215827878532,38,38,0.27177345503440087,0,47,0.4343940119259137,37.310995398455475,27,salaried,0.13045734181421526,0.0,0
21907.86776811926,15450.945399858449,31531.049867315327,37,35,0.052183350025404945,0,26,0.42601276062512095,39.02550102219138,22,salaried,0.7052692468019619,0.0,1
14427.849753277964,12501.186467244708,19076.206185829506,31,33,0.23789066756617627,1,68,0.3618640866734667,52.908829197223035,18,self_employed,0.8664622019926758,0.03125,1
30608.03896894409,10832.255410817525,27464.36094576262,31,23,0.1272917019127668,3,55,0.33699477403638206,44.438053493007104,20,self_employed,0.35390230069323564,0.09375,1
13516.447281270586,6518.396047878687,31457.898500308755,35,29,0.0,1,29,0.6099467604569632,83.42231650024475,17,salaried,0.4822566102048924,0.027777777777777776,1
23945.73333224641,16833.39597636057,23863.55741055229,51,93,0.7113378297284424,3,68,0.1629934831360485,47.562080529856146,20,salaried,0.7029810172358328,0.057692307692307696,1
10058.083820866597,10512.124898310472,28557.141384040402,31,74,0.13020239110706328,1,55,0.047735455867332764,55.028275193260576,28,salaried,1.0451419063044511,0.03125,1
12948.375049359596,7891.467756118145,19207.259819562285,31,103,0.13852717687827917,0,50,0.33420321200506786,64.15653177198983,17,,0.6094562233512415,0.0,1
23831.04673798178,3668.294077720878,25026.387622742182,33,64,0.048034581645911234,2,38,0.3481375988501221,63.86866798794276,21,salaried,0.15392920495910795,0.058823529411764705,0
29595.767256571944,13195.330456944208,33308.75849842943,37,98,0.09137605679542393,0,37,0.1524585475591704,53.49931372336069,14,self_employed,0.44585194708929515,0.0,0
